word,count
"",1
semiprotectedHTMLFrom,1
Wikipedia,5
encyclopediaJump,1
other,19
HTMFor,1
Markup,23
wordmarksvgThe,1
official,2
latest,4
version,20
years,4
Standard2020Type,1
formatDocument,1
elementsContained,1
browserExtended,1
fromSGMLExtended,1
formatYesWebsitehtmlspecwhatwgorgHTMLDynamic,1
HTMLHTML5,1
BasicMobile,1
encodings,4
ModelStyle,1
familyWeb,1
colorsHTML,1
storageRendering,1
languagesHTML,1
supportXHTML,1
11Hypertext,1
language,19
documents,31
designed,2
displayed,3
browser,12
Cascading,5
Style,4
scripting,2
browsers,23
storage,1
render,5
multimedia,1
semantically,5
originally,2
appearance,2
blocks,1
embedded,2
provides,5
means,2
denoting,1
structural,2
semantics,2
links,4
quotes,2
items,1
using,11
brackets,2
provide,4
include,7
subelements,1
Browsers,2
programs,2
JavaScript,1
behavior,1
World,40
maintainer,2
current,4
standards,12
encouraged,3
presentational,13
19972Contents1History11Development12HTML,1
versions,8
2122HTML,1
4124HTML,1
draft,9
timeline131XHTML,1
Publication,2
3311Heading,1
entity,8
Application6HTML4,1
variations61SGMLbased,1
versus,11
XMLbased,7
strict63Frameset,1
versions7WHATWG,1
HTML58WYSIWYG,1
linksHistoryDevelopmentPhotograph,1
physicist,1
proposed,2
ENQUIRE,1
researchers,1
share,1
system3,1
systems,3
engineer,1
Cailliau,1
project,3
formally,2
notes4,1
listed5,1
areas,1
publicly,1
description,3
comprising,1
initial,1
simple,6
design,2
these,9
strongly,1
Standard,7
SGMLbased,4
documentation,1
format,4
Eleven,1
48HTML,1
material,1
visual,5
Default,1
characteristics,2
defined,14
altered,1
enhanced,1
designers,1
additional,2
technical,2
covers,1
command,1
developed,10
1960s,1
TimeSharing,1
System,1
commands,2
derived,1
typesetters,1
However,8
based,7
nested,4
annotated,1
ranges,1
attributes,20
rather,7
print,1
separation,3
direction,2
considered,7
Force,3
publication,2
Draft,8
Document,8
after,3
months,4
notable,1
Mosaic,1
philosophy,1
prototypes,1
Similarly,1
Raggetts,3
suggested,1
standardizing,1
fillout,2
forms11After,1
created,1
Group,11
treated,1
against,1
based12Further,1
development,6
interests,1
Since,2
input,2
commercial,1
vendors,4
W3C13,1
ISOIEC,5
published,21
further,7
errata,2
HTML5,38
WHATWG,17
deliverable,1
201414HTML,1
2November,1
added,3
formbased,1
tablesAugust,1
image,3
3January,1
1997HTML,2
Recommendation,13
exclusively,1
codenamed,2
dropped,1
reconciled,1
proprietary,1
extensions,8
Netscapes,3
mutual,1
agreement,1
mathematical,3
similar,4
until,1
4December,1
offers,3
three,6
variationsStrict,1
allowedFrameset,1
frame,4
related,5
allowedInitially,1
browserspecific,1
marking,1
style,8
conforming,3
SGML19April,1
reissued,1
1999HTML,1
40121,1
2000ISOIEC,1
falls,1
domain,1
JTC1SC34,1
Joint,1
Technical,2
Subcommittee,1
there,5
parallel,2
XHTML,70
5Main,1
2016HTML,1
informal,4
listing,1
DTD32,1
subsequent,1
revisions,2
start,12
draft35June,1
replaced,1
version37,1
month,1
199438November,1
revision,2
authored,1
March,6
199543,1
action,1
support,5
around,2
figures,2
Sheets444546,1
several,6
large,1
interested,1
outstripped,1
resources,1
different,7
subsets,1
These,7
stylistic,1
aspects,1
contrary,2
belief,1
academic,1
engineering,1
community,1
things,1
color,1
definitely,1
scope,1
intent,2
would,7
organized13,1
Raggett,6
Fellow,1
certain,2
extent,2
business,1
HTML5January,1
2008HTML5,1
W3C47Although,1
closely,2
resembles,1
attempt,1
explicitly,1
serialization,1
alternative,1
XHTML5,1
serialization482011,1
clear,2
milestones,1
working,3
group,2
invitation,1
communities,1
confirm,2
comprehensive,1
suite,1
broad,1
interoperability,1
January,12
renamed,1
living,2
nevertheless,1
continues,3
decided,1
focusing,1
single,4
definitive,1
snapshot,1
Living,5
never,1
always,3
improved,1
designated,1
Recommendation52,1
advancement,1
interoperable,1
implementations532014,1
Proposed,3
Recommendation54On,1
stable,1
Recommendation55,1
meaning,5
process,1
versionsMain,1
XHTMLXHTML,1
longer,3
standardXHTML,1
revised,1
reformulated,2
XHTML5606162,1
accurately,1
XHTMLinspired,1
update,1
known,1
XHTML51,1
alongside,1
draft63Transition,1
WHATWGSee,1
identical,2
facto,1
time69MarkupHTML,1
components,1
characterbased,1
references,7
pairs,2
although,3
unpaired,1
triggers,1
renderingThe,1
following,5
Hello,2
title,6
world,1
visible,1
stylingThe,2
revert,1
quirks,3
rendering70ElementsMain,1
source,2
neededIn,1
placed,1
parent,1
elementThe,1
indicate,2
identifiers,2
sections,2
presentation,9
reference,5
resource,1
tagMany,1
particularly,1
paragraph,3
optional,3
agent,4
infer,1
closure,1
rules,2
widely,2
understood,2
Empty,1
slash,2
neither,1
default,2
examplesSee,1
leastHeading,1
3Heading,2
4Heading,1
5Heading,1
4Note,1
drastically,1
change,2
renderingParagraphsParagraph,1
2Line,1
breaks,2
semantic,12
whereas,1
breaksThis,1
holds,1
possible,1
inputs,1
webpageThere,1
textFor,1
establishes,1
specific,4
Content,2
CSS72Presentational,1
regardless,1
purposeFor,1
output,1
boldface,1
indication,1
renderings,1
respectively,2
latter,1
screenreader,1
become,1
attributeMost,1
separated,1
value,8
consisting,1
characters,8
XHTML7374,1
Leaving,1
contrast,2
presence,1
element76There,1
common,3
appear,2
identifier,2
identify,1
stylesheets,1
scripts,1
delete,1
contents,2
typically,3
Attributes,1
class,4
purposes,2
subordinate,1
gathered,1
presented,1
footnotes,1
instead,21
appearing,1
where,2
occur,1
Class,1
classesAn,1
assign,1
particular,3
select,1
stylesheet,2
though,3
sometimes,3
cumbersome,1
attach,1
identifies,1
FranceThe,1
pointing,1
LanguageMost,1
languagerelated,1
Persian,1
Hebrew77Character,1
Unicode,3
HTMLAs,1
allow,6
individual,1
literally,1
literal,2
identicallyThe,1
escape,2
interpreted,2
normally,2
writing,3
doublequote,1
appears,2
singlequote,1
documents7879,1
guess,1
result,1
invalid,1
accessible,1
search,2
easily,1
typed,1
encoding,3
Western,1
European,1
American,2
keyboards,2
eacute,1
compatible,4
modern,3
worlds,1
systems80Example,1
Sequencesclarification,1
neededNamedDecimalHexadecimalResultDescriptionNotesamp38x26Ampersandlt60x3CLess,1
Thanquot34x22Double,1
Quoteapos39x27Single,1
Trademarkdagger8224x2020DaggerDagger8225x2021Double,1
sensitiveddagger8225x2021Double,1
synonymstrade8482x2122TrademarkData,1
script,2
plethora,1
names,2
numbers,2
units,1
length,1
colors,1
dates,1
dataDocument,1
declarationHTML,1
enable,1
validation,2
tools,1
DOCTYPE,1
refers,1
machinereadable,1
grammar,1
specifying,1
permitted,1
prohibited,1
DTDHTML5,1
simpler,1
shorter81An,1
properly,1
perform,1
valid,5
modeIn,1
below,2
incorporating,1
transitional,5
HTMLMain,1
Semantic,4
HTMLSemantic,1
discussion,1
others,1
examples,1
benefit,1
human,1
users84,1
commonplace,1
mashups,2
price,1
close,2
hybridization,1
developers,1
already,1
locations,1
compare,1
knowledge,2
crawler,1
searchengine,2
dependent,1
techniques,1
algorithms,1
millions,1
reducedIn,1
spiders,1
significance,1
creating,1
automated,1
structures,1
uniformly,1
applied,3
bring,1
poorer,1
accessibility,3
higher,2
maintenance,1
larger,2
sizes86Good,1
improves,1
audio,1
correctly,1
visually,2
impaired,2
correctlyDeliveryHTML,1
Transfer,2
primarily,3
transmitted,2
servers,2
serve,1
sound,1
handle,1
applicationxhtmlxml,4
Character,3
wellformed,3
errors,1
cause,1
successfully,1
lenient,1
HTMLThe,2
state,1
guidelines,3
Type87,1
emailMain,1
graphical,3
clients,2
typographic,1
quoted,2
editor,2
composing,1
messages,1
engine,1
compatibility,2
issues,2
phishing,1
confuse,3
filters,1
conventionsThe,1
files,2
limitations,2
limited,1
ApplicationAn,1
Windows,2
Dynamic,1
regular,1
security,3
model,6
cookies,1
trusted,1
privileges,1
Because,3
operate,1
cannot,1
executed,2
downloaded,1
systemHTML4,1
variationsSince,1
acceptance,1
existed,1
Though,1
devoid,1
details91,1
pushed,1
reflect,1
efforts,1
rational,1
wellpresented,1
shoulder,1
elementsThere,1
loose,3
frameset,5
axisSGMLbased,1
distinction,1
traditional,1
workarounds,1
circumstances,2
XHTMLLike,1
differences,4
documentin,1
DTDsare,1
syntactic,1
underlying,1
however,1
shortcut,1
opened,1
before,4
introduction,1
shorthand,1
unfamiliar,1
space,2
understand,1
subtle,1
consider,1
stepsThe,1
remove,1
serverChange,1
emptyelement,3
translate,2
coding,1
requirements,3
ensure,1
Compatibility,2
steps,1
onlyInclude,1
languageUse,1
HTMLInclude,1
Include,1
carefully,2
equally,1
served,1
parser,1
strictly,1
contentsTransitional,1
conformed,1
improve,1
modelInline,1
blockquote,2
elementsunderline,1
hyperlinkstrikethrough,1
Deprecated,24
insteadfont,1
insteadbasefont,1
attributesbackground,1
elementalign,2
vspace,1
hspace,1
caution,1
major,1
caption,1
elementsbgcolor,1
elementstype,2
compact,1
elementwidth,1
specificationmenu,1
recommendedisindex,1
serverside,2
redundant,2
attributeFrame,1
imagemap,1
elementsThe,1
everything,2
elementFrameset,1
transitionalIn,1
above,1
replacing,1
noframes,1
versionsAs,1
demonstrates,1
legacy,3
misconceptions,1
extensible,2
entire,2
primary,1
deployed,1
modular,2
looking,1
timetable,1
quicker,1
MathML,1
technology,2
replace,1
ported,1
modularizes,1
standardsbodybased,1
approachWHATWG,1
HTML5Main,1
WHATWGWYSIWYG,1
editorsThere,1
WYSIWYG,4
renders,1
criticized9495,1
quality,1
generated,2
MeanWYSIWYG,1
controversial,1
topic,1
perceived,1
flaws,1
convey,1
layout96Often,1
verbose,1
fails,1
ungrammatical,1
incorrect,1
alsoBreadcrumb,1
parsersDynamic,1
referencesList,1
languagesList,1
HTMLMicroformatPolyglot,1
markupSemantic,1
HTMLW3C,1
Conformance,2
Retrieved,81
Information,3
Proposal,1
W3org,3
Design,5
Issues,2
mention,1
mailing,2
Index,1
SGMLHTML,1
archived,1
basic,1
Representation,1
Textual,1
nonproprietary,1
delivery,1
global,1
response,1
needs,1
providers,1
floating,1
equations,1
Connelly,1
ietforg,1
Future,1
completion,1
Wilbur,1
CsTcdIe,2
20000515,1
Platform,3
Achieved,2
Philippe,1
McCathie,1
Nevile,1
Hyper,3
19931108,1
20191118,3
19950516,1
toolsietforg,1
Bowers,1
Another,1
designing,1
Addison,1
Wesley,1
serializations,1
Confirms,1
Hickson,1
20121217,1
20130615,1
Finished,1
20140916,1
20140927,1
squabbling,1
Technica,1
Second,4
Modulebased,2
wwww3org,1
Expected,1
Resources,1
Jaffe,1
Together,1
Understanding,1
Cimpanu,1
ZDNet,1
Shankland,1
Doctype,1
Hsivonenikifi,1
w3schools,1
Differences,1
Korpela,1
Cstutfi,1
Applets,1
resolve,1
Named,1
Fischetti,1
Original,1
9780062515872,1
Adding,1
touch,1
notes,1
useful,1
Lassila,1
Nigel,1
Shadbolt,1
Revisited,1
RFC2854,2
Indicate,1
Requirement,1
University,1
SHOULD,2
adjective,1
ignore,1
implications,1
weighed,1
choosing,1
Files,1
Namespaces,1
Archives,1
WWWBTB,1
Sears,1
Freeman,1
OReilly,1
Sauer,1
Wikimania,1
Kitchen,1
International,2
Conference,1
355364,1
20100325,1
Wayback,1
Machine,1
Engelbarts,1
INVISIBLE,1
Invisiblerevolutionnet,1
linksHTMLat,1
Wikipedias,1
sister,1
Wikimedia,2
WikibooksResources,1
WikiversityData,1
versionDave,1
Gives,1
DefinitionHTML,1
EntitiesvteWeb,1
protocolsFeaturesBookmarksExtensionsPrivacy,1
modeSyncWeb,1
v5CSSDOMJavaScript,1
storageWebAssemblyWebGLProtocolsHTTP,1
W3CvteDocument,1
languagesvteISO,1
numbervteList,1
standardsAuthority,1
cb12493600c,1
sh95002791OcticonsterminalsvgComputer,1
programming,1
introductions,1
formatsTechnical,1
inArticleTalkReadView,1
sourceView,1
WikipediaMain,1
usDonateContributeHelpLearn,1
editCommunity,1
portalRecent,1
changesUpload,1
fileToolsWhat,1
hereRelated,1
linkPage,1
Vit119,1
moreEdit,1
linksThis,1
edited,1
Creative,1
AttributionShareAlike,1
Policy,1
registered,1
nonprofit,1
organizationPrivacy,1
viewDevelopersStatisticsCookie,1
statementWikimedia,1
MediaWiki,1
navigationJump,1
searchhtm,1
redirect,1
HelpHTML,1
wikitextHTMLHypertext,1
LanguageHTML5,1
HTML51Filename,1
extensionhtmlhtmInternet,1
media,2
typetexthtmlType,1
codeTEXTDeveloped,1
byWHATWGInitial,1
release1993,1
agoLatest,1
releaseLiving,1
formatContainer,1
forHTML,1
byWeb,1
toXHTMLOpen,1
audiocanvasvideoXHTML,1
ProfileCHTMLHTML,1
element,41
divHTML,1
attributeHTML,1
frameHTML,1
editorCharacter,1
UnicodeLanguage,1
codeDocument,1
Object,2
ModelBrowser,1
sheets,4
CSSFont,1
scriptingJavaScript,1
WebGLWebCLW3C,1
ValidatorWHATWGQuirks,1
modeWeb,1
engineComparisonsDocument,1
markup,37
Language,19
standard,16
assisted,1
technologies,1
Sheets,3
languages,5
JavaScriptWeb,1
receive,1
server,3
local,2
pages,8
describes,4
structure,7
included,11
documentHTML,1
elements,42
building,2
constructs,1
images,6
objects,2
interactive,1
forms,2
rendered,2
create,3
structured,1
headings,3
paragraphs,2
lists,1
delineated,1
written,7
angle,2
directly,2
introduce,2
content,21
Other,1
surround,1
information,10
about,1
document,45
display,4
interpret,4
pageHTML,2
embed,2
which,32
affects,1
Inclusion,1
defines,7
layout,3
Consortium,35
former,1
explicit,2
since,4
timeline121HTML,1
3123HTML,1
513HTML,1
versions14Transition,1
WHATWG2Markup21Elements211Element,1
examples3Heading,1
Level,6
231Heading,1
4312Attributes32Character,1
references33Data,1
types34Document,1
declaration4Semantic,1
HTML5Delivery51HTTP52HTML,1
email53Naming,1
conventions54HTML,1
HTML62Transitional,1
transitional64Summary,1
specification,29
editors9See,1
also10References11External,1
BernersLee,23
April,7
2009Tim,1
2009In,1
contractor,1
prototyped,1
system,2
wrote,2
proposing,1
Internetbased,1
hypertext,6
specified,5
software,5
Robert,1
collaborated,1
joint,2
request,1
funding,1
adopted,3
personal,1
encyclopedia,1
firstThe,1
first,9
available,5
called,7
mentioned,3
Internet,16
199167,1
relatively,2
Except,1
hyperlink,4
influenced,1
SGMLguid,1
inhouse,1
Generalized,1
still,2
exist,3
compose,1
audible,1
every,1
found,2
report,1
Techniques,2
features,9
early,6
formatting,4
RUNOFF,1
Compatible,1
operating,2
manually,1
concept,2
generalized,1
merely,1
effects,1
progressively,2
moved,2
CSSBernersLee,1
application,9
Engineering,3
mid1993,1
proposal,5
Hypertext,12
Connolly,10
definition,2
define,3
grammar910,1
expired,4
acknowledgment,1
custom,1
embedding,1
inline,4
reflecting,1
IETFs,1
basing,1
successful,1
competing,4
InternetDraft,1
Format,2
alreadyimplemented,1
tables,3
drafts,1
Working,11
completed,2
intended,5
future,1
implementations,2
should,9
under,3
auspices,1
stalled,1
specifications,6
maintained,2
became,2
international,2
154452000,2
through,3
began,3
Application,2
Technology,1
standardized,3
October,22
timelineHTML,1
1995HTML,2
Supplemental,1
capabilitiesNovember,1
uploadMay,1
clientside,2
mapsJanuary,1
internationalizationHTML,1
closed,3
September,7
199616Initially,1
Wilbur17,1
formulas,2
entirely,1
overlap,1
among,1
various,6
blink,1
Microsofts,1
marquee,1
omitted,3
between,11
companies13,1
later,3
MathMLHTML,1
deprecated,7
forbiddenTransitional,1
mostly,1
Cougar17,1
types,6
sought,1
phase,1
favor,3
1998HTML,1
minor,3
edits,1
without,5
incrementing,1
numberDecember,1
variations,3
2001May,1
1544520002223,1
Strict,7
Committee,1
processing,2
languages22After,1
occupied,1
mid2000sHTML,1
article,10
HTML5October,1
2014HTML524,1
Recommendation25November,1
Recommendation2728December,1
2017HTML,1
Recommendation3031HTML,1
timelineOctober,1
1991HTML,1
Tags6,1
publicJune,1
1992First,1
seven333435,1
August,6
November,29
22November,1
1992HTML,1
number,2
1993Hypertext,1
Language36,1
rough,1
second,2
laterNovember,1
1993HTML,1
1994First,1
itself39,1
finally,1
199541April,1
capabilities,1
complex,3
formulas43W3C,1
Arena,1
succeed,1
reasons,2
parties,1
IETF13,1
Browser,5
including,5
Microsoft,4
Netscape,2
chose,1
implement,2
their,8
control,2
background,1
texture,1
outside,3
specify,3
commented,1
example,20
built,2
extending,1
features13Official,1
logoLogo,1
syntax,9
abandoned,2
addition,5
CallOn,1
February,6
extended,2
charter,1
advanced,2
inside,1
soundness,1
achieve,1
target,2
recommendation49,1
release,2
HTML5502012,1
Candidate,2
RecommendationIn,2
degree,1
continue,2
organization,1
complete,2
being,4
updated,1
functionality,2
removed51In,1
December,21
criterion,1
fully,2
released,3
complete56XHTML,1
separate,4
reformulation,1
200057,1
republished,1
restrictionsXHTML,1
includes,3
changes,2
customized,1
modules,2
recommendation,1
Modularization,2
200159XHTML,1
incompatible,1
therefore,4
characterized,1
conflictOn,1
announced,1
publisher,1
standards64656667,1
publishing,1
While,1
diverged,1
decisions68,1
consists,1
those,2
character,20
commonly,2
represent,1
empty,10
opening,6
closing,7
tagsAnother,1
important,4
component,1
declaration,8
classic,1
program,1
division,1
Declaration,2
elementHTML,1
imply,2
indicated,2
enclosed,3
71better,1
general,3
tagsTags,1
enclose,2
mixture,1
indicates,6
children,1
within,9
break,1
permit,2
either,6
require,4
context,2
codersThe,1
instance,2
preceded,1
required,3
allowed,3
values,6
caseElement,1
elementHeader,1
Title,1
Headings,1
highest,1
level,7
1Heading,1
2Heading,2
Effects,1
areHeading,1
Paragraph,1
difference,3
altering,1
tagThis,1
attribute,30
address,1
linkA,1
WikipediaInputsThere,1
CommentsComments,1
understanding,2
HTMLStructural,1
purpose,2
secondlevel,1
heading,2
Structural,1
denote,1
rendering,3
styles,1
styled,1
devices,3
gives,1
little,1
unable,1
aural,2
aloud,1
italic,1
equivalent,3
nature,3
strong,1
emphasized,2
easier,2
counterparts,1
undesirable,1
emphasize,1
screen,2
italicized,1
stylingHypertext,1
makes,2
parts,2
documentsAn,1
anchor,1
creates,1
inserted,1
AttributesMain,1
namevalue,2
double,1
unquoted,2
unsafe75,1
affect,2
simply,2
element6,1
ismap,1
documentwide,1
unique,2
alter,2
properties,2
animate,1
Appended,1
globally,1
subsection,1
httpsenwikipediaorgwikiHTMLAttributesThe,1
classifying,1
might,4
designation,1
together,1
place,1
microformats,1
Multiple,1
notation,1
author,1
better,1
practice,2
subtextual,1
explanation,1
tooltipThe,1
natural,1
Englishlanguage,1
documentOh,1
abbreviation,3
demonstrate,1
attributesHTMLThis,1
displays,1
cursor,1
righttoleft,1
Arabic,1
referencesSee,1
1114050,1
numeric,3
counterpart,1
ability,1
allows,6
quote,2
escaped,2
itself,2
Equivalently,1
authors,4
overlook,1
forgiving,1
agents,6
parse,2
indexing,1
exampleEscaping,1
represented,1
acuteaccented,1
South,1
supported,2
direct,1
access,1
almost,1
Escape,1
Thangt62x3eGreater,1
Quotenbsp160xA0NonBreaking,1
Spacecopy169xA9Copyrightreg174xAERegistered,1
daggerNames,2
typesHTML,1
descriptors,1
times,1
specializations,1
informally,1
doctype,5
helps,1
modeparticularly,1
whether,2
modeThe,1
original,16
parsing,2
Definition,2
contains,2
consequence,1
doctypeThis,1
strict,4
validators,1
order,2
activates,1
opposed,2
Transitional,8
Frameset,6
explained,1
inclusive,1
older,2
excluding,1
necessary,2
frames,1
along,2
typecitation,1
neededSemantic,1
emphasizes,1
encoded,1
inception82,1
There,1
neutral,1
1990s,1
beginning,1
avoid,1
content83In,1
intelligent,1
automatically,3
crawl,2
filter,1
correlate,1
previously,1
unrelated,1
facts,1
ideas,1
comparison,1
websites,1
coming,2
hybrids,2
BernersLees,1
aggregation,1
usually,3
combineAn,1
prior,1
spider,1
clarity,1
index,1
users,2
facilities,2
usefulness,1
greatly,1
pieces,1
text85Presentational,1
recommendations,5
majority,1
previous,2
Accessibility,1
Guidelines,3
reader,1
ascertain,1
waste,1
reading,1
repeated,1
irrelevant,1
marked,1
delivered,3
computer,1
often,4
emailHTTPMain,1
ProtocolThe,1
composed,1
Protocol,1
receives,1
texthtml,5
HTMLIn,1
initially,1
expected,1
follow,2
forth,2
Appendix,3
labeled,5
states,1
should88,1
type89HTML,1
emailMost,1
email,3
subset,2
illdefined,1
plain,3
coloured,1
diagrams,1
displaying,1
criticized,2
because,8
disguise,1
attacks,1
blind,1
people,1
message,1
textNaming,1
filename,1
extension,2
containing,1
originated,1
imposed,1
letters90HTML,1
ApplicationMain,1
applications,1
interface,2
confined,1
communicating,1
manipulating,1
creationeditingremoval,1
Registry,1
entries,1
inception,1
associated,2
protocols,1
gained,1
quicklyby,1
creators,1
conceived,1
practical,1
driven,1
largely,2
surrounding,1
overcome,1
chaotic,1
language92,1
foundation,1
meaningful,1
return,1
burden,1
conjunction,1
slowly,1
reined,2
differentiating,1
currently,1
referred,1
HTMLOne,1
distinguish,2
clearly,2
XHTMLspecified,1
except,1
documented,1
conflate,1
subspecifications,1
framesetAside,1
declarations,1
corresponding,1
shortcuts,1
requires,3
introduces,1
earlier,1
convention,1
transformation,1
adheres,4
translation,1
xmllang,2
languagedefining,1
attributeRemove,1
namespace,1
xmlnsURI,1
namespacesChange,1
section,2
explanationIf,1
present,1
Typically,1
Ensure,1
comes,1
ContentType,1
header,1
Those,2
Whether,1
remembering,1
omittedA,1
structureThe,1
recommends,2
conventions,1
migration,2
assigning,1
extra,1
declarationBy,1
permits,1
applicationxml,1
strictHTML,1
Loose,1
while,2
transition,1
didnt,1
conform,1
Instead,1
cascading,2
apply,2
wellThe,1
vocabulary,3
versionA,1
looser,1
noscript,1
noframesPresentation,1
uDeprecated,1
visitor,1
scenter,1
insteadPresentation,1
bgcolor,3
according,1
elementsalign,3
noshade,1
width,2
border,1
object,3
Explorer,2
legend,1
table,1
elementnowrap,1
Obsolete,3
height,1
elementclear,1
elementcompact,1
elementAdditional,1
substitute,2
unordered,2
recommendeddir,1
substituteapplet,1
insteadThe,1
entitiesiframenoframestarget,1
optionally,1
bodySummary,1
popular,1
removal,1
Rather,1
stands,1
modularizing,1
independent,1
achievement,1
modularization,2
Likewise,1
someone,1
contained,1
develop,1
emerging,1
XFormsa,1
highly,1
webform,1
existing,1
formsIn,1
summary,1
takes,1
advantage,1
whole,1
adding,1
TransitionofHTMLPublicationtoWHATWGThe,1
editors,2
processors,1
extensive,1
editing,1
voiceswho,1
advocating,1
WYSIWYM,1
remain,1
asRelying,1
mainly,1
copies,1
producing,2
extremely,1
CSSOften,1
italicsAs,1
great,1
getnature97See,1
navigationComparison,1
referencesMicrodata,1
ValidatorWeb,1
colorsReferences,1
Specification,8
Archived,16
Management,1
First,2
wwwtalk,2
Daniel,10
MetaInformation,1
Retrieval,1
Interchange,1
Review,2
growing,1
generally,1
upwardly,1
Reference,4
Arnoud,1
Engelfriet,1
Introduction,4
HyperText,6
20120216,3
Milestone,2
Press,1
Hegaret,1
Charles,1
architecture,1
Revision,1
History,3
draftraggettwwwhtml00,1
datatrackerietforg,2
INTERNET,1
DRAFT,1
draftietfhtmlspec05,1
Expired,1
Materials,1
Version,3
Expires,1
Weblint,1
CiteSeerX,1
1011547191,1
Longman,1
Targets,1
splits,1
netmagazinecom,1
Published,1
finalized,1
specs,1
20141029,2
Extensible,2
Edition,4
20170104,1
Increase,1
Advance,1
Signed,1
Agreement,1
Collaborate,1
Single,1
Memorandum,1
Between,1
Catalin,1
Stephen,1
epitaph,1
INTERACTIVE,1
Activating,1
Modes,1
Elements,1
W3schools,1
Jukka,1
Objects,1
Images,1
Using,1
problems,1
directional,1
Entity,1
Chart,1
20100316,1
20130819,1
Weaving,1
Ultimate,1
Destiny,1
Inventor,1
Francisco,1
Harper,1
targeting,1
James,1
Hendler,1
Scientific,1
Wendy,1
Intelligent,1
Systems,1
Documents,1
Media,3
RFC3236,2
words,1
Levels,1
Harvard,1
RECOMMENDED,1
course,1
Naming,1
Paths,1
Constraints,1
WYSIWIKI,1
Questioning,1
Spiesser,1
Optimization,1
Xhtmlcom,1
REVOLUTION,1
20120216External,1
projectsDefinitions,1
WiktionaryMedia,1
CommonsTextbooks,1
WikidataDiscussion,1
MetaWikiDocumentation,1
MediaWikiHTML,1
CurlieWHATWGs,1
StandardW3Cs,1
HTMLTim,1
browsersFeatures,1
standardsHTML,1
IndexedDBWeb,1
v2v3CookiesEncryptionOCSPWebRTCWebSocketActiveDiscontinuedCategoryComparisonsListvteWorld,1
Electrotechnical,1
Commission,1
WikidataBNE,1
XX539726BNF,1
dataGND,1
43734777LCCN,1
portalCategories,1
HTMLComputerrelated,1
1990Markup,1
languagesOpen,1
communicationWorld,1
standardsNavigation,1
menuNot,1
logged,1
inTalkContributionsCreate,1
accountLog,1
historySearchSearch,1
pageContentsCurrent,1
eventsRandom,1
articleAbout,1
WikipediaContact,1
changesSpecial,1
pagesPermanent,1
informationCite,1
pageWikidata,1
itemPrintexportDownload,1
PDFPrintable,1
versionIn,1
projectsWikimedia,1
CommonsWikibooksWikiversityLanguagesDeutschEspaolFranaisItalianoTagalogTing,1
UTCText,1
Commons,1
License,1
terms,1
agree,1
Terms,1
Privacy,1
trademark,1
Foundation,1
policyAbout,1
WikipediaDisclaimersContact,1
WikipediaMobile,1
FoundationPowered,1
